session_id,source_ip,destination_ip,source_port,destination_port,protocol,packet_size,tcp_flags,duration_sec,attack_type
182,192.168.1.131,10.0.0.127,45231,25,SSH,419,RST,0.52,Ransomware
183,192.168.1.1,10.0.0.209,38594,80,HTTPS,541,PSH,5.825581238,Phishing
184,192.168.1.5,10.0.0.227,23465,8080,FTP,596,URG,1.31,No Attack
185,192.168.1.218,10.0.0.176,7639,8080,SMTP,607,RST,0.76,MITM
186,192.168.1.247,10.0.0.133,7786,21,FTP,749,FIN,4.63,Session Hijack
187,192.168.1.142,10.0.0.48,39335,25,HTTP,679,FIN,3.91,XSS
188,192.168.1.103,10.0.0.224,25733,25,FTP,685,PSH,2.47,SQLi
189,192.168.1.27,10.0.0.3,38675,22,SSH,543,URG,0.69,DoS
190,192.168.1.137,10.0.0.116,24458,80,HTTPS,513,ACK,0.99,Ransomware
191,192.168.1.207,10.0.0.175,22367,21,SMTP,556,ACK,2.34,Phishing
192,192.168.1.15,10.0.0.190,16763,443,SMTP,670,PSH,0.41,No Attack
193,192.168.1.90,10.0.0.99,1690,21,SSH,555,PSH,1.496466266,MITM
194,192.168.1.42,10.0.0.116,34068,8080,SSH,591,RST,2.68,Session Hijack
195,192.168.1.124,10.0.0.14,28907,21,SSH,525,FIN,2.14,XSS
196,192.168.1.205,10.0.0.191,15087,22,HTTP,609,PSH,2.55,SQLi
197,192.168.1.179,10.0.0.112,34673,21,HTTPS,600,SYN,4.45,DoS
198,192.168.1.63,10.0.0.253,35852,22,HTTP,645,RST,6.9,Ransomware
199,192.168.1.96,10.0.0.61,48469,8080,SSH,627,FIN,1.869249641,Phishing
200,192.168.1.231,10.0.0.159,52258,22,HTTPS,396,RST,0.12,No Attack
201,192.168.1.241,10.0.0.95,40494,25,SSH,500,FIN,3.6,MITM
202,192.168.1.52,10.0.0.17,10453,443,HTTPS,313,SYN,1.334441284,Session Hijack
203,192.168.1.253,10.0.0.124,60820,8080,SMTP,583,FIN,0.5,XSS
204,192.168.1.96,10.0.0.24,49645,22,HTTP,535,RST,2.12,SQLi
205,192.168.1.132,10.0.0.116,65169,80,SSH,755,FIN,2.74,DoS
206,192.168.1.222,10.0.0.151,33950,8080,SSH,641,RST,2.37,Ransomware
207,192.168.1.229,10.0.0.82,65467,80,FTP,544,PSH,2.541207462,Phishing
208,192.168.1.151,10.0.0.50,49788,443,SMTP,429,SYN,5,No Attack
209,192.168.1.231,10.0.0.246,39021,22,SSH,669,RST,5.180109267,MITM
210,192.168.1.237,10.0.0.206,60964,8080,HTTP,440,ACK,2.18,Session Hijack
211,192.168.1.143,10.0.0.242,41748,8080,SMTP,528,ACK,1.16,XSS
212,192.168.1.171,10.0.0.79,33293,443,SSH,638,URG,1.25,SQLi
213,192.168.1.29,10.0.0.79,32728,25,HTTP,683,URG,0.39,DoS
214,192.168.1.36,10.0.0.70,57690,80,FTP,362,FIN,3.03,Ransomware
215,192.168.1.13,10.0.0.27,29415,8080,FTP,519,PSH,4.842598317,Phishing
216,192.168.1.160,10.0.0.15,64315,21,HTTP,570,PSH,3.51,No Attack
217,192.168.1.71,10.0.0.50,25211,80,SMTP,408,ACK,1.58,MITM
218,192.168.1.187,10.0.0.36,46358,22,HTTP,624,FIN,4.902656637,Session Hijack
219,192.168.1.243,10.0.0.247,3550,443,HTTP,440,PSH,3.13,XSS
220,192.168.1.86,10.0.0.8,25710,80,FTP,583,PSH,3.57,SQLi
221,192.168.1.28,10.0.0.79,8827,21,FTP,321,FIN,8.03,DoS
222,192.168.1.66,10.0.0.131,33692,21,FTP,526,RST,4.058345273,Ransomware
223,192.168.1.170,10.0.0.190,7598,443,SSH,791,ACK,0.63,Phishing
224,192.168.1.45,10.0.0.47,9757,443,SSH,536,URG,3.44,No Attack
225,192.168.1.62,10.0.0.205,51314,80,HTTPS,426,PSH,0.94,MITM
226,192.168.1.185,10.0.0.105,8281,22,SSH,551,RST,1.45,Session Hijack
227,192.168.1.245,10.0.0.98,37075,25,SMTP,702,RST,3.703093373,XSS
228,192.168.1.134,10.0.0.216,16933,21,SMTP,616,RST,0.76,SQLi
229,192.168.1.28,10.0.0.232,25170,443,FTP,538,RST,0.05,DoS
230,192.168.1.28,10.0.0.96,12826,25,HTTP,758,SYN,2.53,Ransomware
231,192.168.1.108,10.0.0.189,8920,25,FTP,521,SYN,4.65,Phishing
232,192.168.1.44,10.0.0.160,62823,25,HTTP,675,URG,5.26,No Attack
233,192.168.1.84,10.0.0.222,29157,22,FTP,709,FIN,3.9398989,MITM
234,192.168.1.30,10.0.0.116,52595,443,FTP,557,ACK,5.47,Session Hijack
235,192.168.1.190,10.0.0.241,14550,21,SMTP,405,FIN,3.44,XSS
236,192.168.1.75,10.0.0.13,51932,443,HTTP,782,SYN,0.06,SQLi
237,192.168.1.128,10.0.0.1,12302,80,HTTPS,392,FIN,0.86,DoS
238,192.168.1.250,10.0.0.34,47034,21,HTTPS,526,FIN,2.870398698,Ransomware
239,192.168.1.247,10.0.0.190,52482,443,FTP,456,RST,0.49,Phishing
240,192.168.1.92,10.0.0.79,65289,21,FTP,491,PSH,3.2,No Attack
241,192.168.1.217,10.0.0.236,57806,80,SMTP,608,SYN,1.47,MITM
242,192.168.1.231,10.0.0.78,56439,8080,HTTP,464,SYN,3.62,Session Hijack
243,192.168.1.190,10.0.0.121,26575,21,FTP,610,FIN,1.84,XSS
244,192.168.1.225,10.0.0.93,55184,8080,HTTPS,459,PSH,1.79,SQLi
245,192.168.1.129,10.0.0.98,55423,25,HTTP,513,FIN,0.97,DoS
246,192.168.1.121,10.0.0.82,26322,22,FTP,714,ACK,3.12,Ransomware
247,192.168.1.27,10.0.0.246,36362,80,HTTP,512,SYN,2.3,Phishing
248,192.168.1.190,10.0.0.199,23215,21,SMTP,492,RST,0.83,No Attack
249,192.168.1.121,10.0.0.221,57988,80,HTTPS,513,RST,10.09,MITM
250,192.168.1.116,10.0.0.247,34116,25,HTTP,466,RST,1.24,Session Hijack
251,192.168.1.205,10.0.0.159,24895,8080,HTTPS,399,URG,0.76,XSS
252,192.168.1.233,10.0.0.192,10745,22,FTP,705,URG,2.33,SQLi
253,192.168.1.3,10.0.0.253,39437,80,SSH,459,SYN,0.5,DoS
254,192.168.1.103,10.0.0.153,63537,8080,HTTP,476,SYN,3.55,Ransomware
255,192.168.1.198,10.0.0.38,52121,25,HTTPS,484,RST,2.28,Phishing
256,192.168.1.200,10.0.0.14,31303,25,HTTP,688,SYN,4.08,No Attack
257,192.168.1.155,10.0.0.136,15428,25,FTP,479,RST,0.8,MITM
258,192.168.1.137,10.0.0.91,5510,8080,FTP,495,ACK,3.85,Session Hijack
259,192.168.1.62,10.0.0.54,36222,21,HTTPS,483,ACK,1.39,XSS
260,192.168.1.165,10.0.0.130,29711,443,SMTP,542,ACK,0.12,SQLi
261,192.168.1.225,10.0.0.209,53686,80,HTTP,581,FIN,0.43,DoS
262,192.168.1.51,10.0.0.101,51021,443,HTTP,679,FIN,0.49,Ransomware
263,192.168.1.234,10.0.0.206,14180,25,FTP,879,PSH,4.093175969,Phishing
264,192.168.1.172,10.0.0.89,1591,443,HTTP,604,PSH,0.45,No Attack
265,192.168.1.152,10.0.0.56,62056,8080,HTTPS,644,PSH,1.65,MITM
266,192.168.1.207,10.0.0.94,3203,25,SSH,368,ACK,2.11,Session Hijack
267,192.168.1.59,10.0.0.93,3043,25,FTP,511,ACK,2.97,XSS
268,192.168.1.118,10.0.0.84,16943,22,SSH,713,ACK,3.06,SQLi
269,192.168.1.160,10.0.0.85,20727,22,HTTP,582,SYN,2.53,DoS
270,192.168.1.96,10.0.0.189,19728,8080,SMTP,314,SYN,0.48,Ransomware
271,192.168.1.216,10.0.0.245,19054,8080,HTTPS,511,ACK,1.57,Phishing
272,192.168.1.233,10.0.0.22,62371,443,HTTP,451,RST,1.173860659,No Attack
273,192.168.1.180,10.0.0.35,4933,80,HTTPS,649,PSH,3.769661887,MITM
274,192.168.1.113,10.0.0.229,9039,443,HTTP,512,FIN,4.272053449,Session Hijack
275,192.168.1.62,10.0.0.16,4444,8080,HTTP,271,PSH,0.52,XSS
276,192.168.1.241,10.0.0.50,60899,80,HTTP,536,RST,2.05,SQLi
277,192.168.1.186,10.0.0.122,48677,443,FTP,305,URG,1.696873878,DoS
278,192.168.1.52,10.0.0.128,17764,21,SSH,545,SYN,2.93,Ransomware
279,192.168.1.12,10.0.0.113,41277,21,SMTP,758,ACK,3.03,Phishing
280,192.168.1.254,10.0.0.171,31352,80,SSH,636,SYN,0.85,No Attack
281,192.168.1.39,10.0.0.17,20489,22,SSH,525,SYN,4.038614723,MITM
282,192.168.1.130,10.0.0.80,52456,80,HTTPS,434,RST,4.212215143,Session Hijack
283,192.168.1.131,10.0.0.186,5155,443,FTP,781,SYN,0.42,XSS
284,192.168.1.113,10.0.0.247,11676,25,FTP,563,SYN,0.86,SQLi
285,192.168.1.101,10.0.0.130,22531,21,HTTP,636,PSH,1.757644763,DoS
286,192.168.1.113,10.0.0.132,48171,25,SSH,581,PSH,2.037797985,Ransomware
287,192.168.1.184,10.0.0.85,48695,21,SMTP,599,URG,1.18,Phishing
288,192.168.1.81,10.0.0.167,49705,443,HTTPS,649,RST,1.43,No Attack
289,192.168.1.187,10.0.0.226,24830,21,FTP,632,ACK,0.07,MITM
290,192.168.1.113,10.0.0.94,20195,80,HTTP,516,PSH,0.11,Session Hijack
291,192.168.1.2,10.0.0.134,21617,25,SMTP,763,URG,2.13,XSS
292,192.168.1.130,10.0.0.81,64236,8080,SSH,455,SYN,1.17,SQLi
293,192.168.1.220,10.0.0.231,56716,25,SMTP,564,URG,1.181443449,DoS
294,192.168.1.54,10.0.0.217,59565,443,FTP,622,URG,0.98,Ransomware
295,192.168.1.87,10.0.0.69,10494,8080,HTTPS,539,FIN,1.29,Phishing
296,192.168.1.229,10.0.0.69,50641,25,SSH,569,PSH,2.02,No Attack
297,192.168.1.224,10.0.0.148,62368,443,HTTPS,673,URG,0.25,MITM
298,192.168.1.225,10.0.0.192,45332,22,SMTP,501,URG,10.52,Session Hijack
299,192.168.1.129,10.0.0.16,51663,80,SMTP,583,FIN,1.29,XSS
300,192.168.1.147,10.0.0.51,22350,21,HTTP,660,ACK,2.28,SQLi
301,192.168.1.126,10.0.0.105,5621,21,SSH,585,SYN,4.78,DoS
302,192.168.1.130,10.0.0.165,38328,21,SMTP,480,PSH,0.06,Ransomware
303,192.168.1.53,10.0.0.232,31812,22,FTP,483,ACK,1.84,Phishing
304,192.168.1.172,10.0.0.201,50501,80,FTP,486,RST,1.55,No Attack
305,192.168.1.218,10.0.0.197,43749,25,HTTPS,594,ACK,0.12,MITM
306,192.168.1.160,10.0.0.170,37954,25,FTP,447,RST,2.36,Session Hijack
307,192.168.1.198,10.0.0.185,34095,80,SMTP,514,RST,2.187409044,XSS
308,192.168.1.160,10.0.0.66,6091,8080,FTP,546,PSH,2.42,SQLi
309,192.168.1.247,10.0.0.9,62947,80,SSH,502,FIN,2.103285633,DoS
310,192.168.1.68,10.0.0.107,6048,21,HTTPS,648,RST,2.94,Ransomware
311,192.168.1.183,10.0.0.100,8739,25,SSH,274,SYN,5.69,Phishing
312,192.168.1.203,10.0.0.86,59808,80,SMTP,520,PSH,3.94,No Attack
313,192.168.1.184,10.0.0.64,58516,25,SMTP,459,URG,1.32,MITM
314,192.168.1.123,10.0.0.214,32794,80,FTP,581,URG,0.51,Session Hijack
315,192.168.1.145,10.0.0.22,12250,443,HTTP,472,RST,9.77,XSS
316,192.168.1.38,10.0.0.162,36423,21,HTTP,442,PSH,2.15,SQLi
317,192.168.1.24,10.0.0.183,56567,80,SMTP,593,SYN,1.01,DoS
318,192.168.1.69,10.0.0.157,14436,22,SMTP,803,PSH,1.31,Ransomware
319,192.168.1.116,10.0.0.166,48829,80,HTTPS,490,PSH,1.71514913,Phishing
320,192.168.1.98,10.0.0.251,58463,443,SMTP,664,URG,1.41,No Attack
321,192.168.1.198,10.0.0.110,45439,22,SMTP,627,RST,0.766309218,MITM
322,192.168.1.214,10.0.0.97,13593,22,HTTPS,615,ACK,0.91,Session Hijack
323,192.168.1.139,10.0.0.18,3393,80,SSH,603,PSH,1.35,XSS
